year,bottype,bottypecount
1917,foodborne,22
1918,foodborne ,43
1919,foodborne ,66
1920,foodborne ,42
1920,other ,1
1921,foodborne ,63
1922,foodborne ,59
1923,foodborne ,20
1924,foodborne ,50
1925,foodborne ,24
1926,foodborne,5
1927,foodborne ,11
1928,foodborne,23
1929,foodborne,30
1930,foodborne ,17
1931,foodborne ,48
1932,foodborned ,46
1932,other,1
1933,foodborne,37
1934,foodborne,18
1935,foodborne,71
1936,foodborne,24
1937,foodborne,42
1938,foodborne,33
1939,foodborne,47
1940,foodborne,35
1941,foodborne,44
1942,foodborne,37
1943,foodborne,22
1943,wound,1
1944,foodborne,39
1945,foodborne,37
1946,foodborne,21
1947,foodborne,45
1948,foodborne,32
1948,wound,1
1949,foodborne,16
1950,foodborne,24
1951,foodborne,36
1951,wound,1
1952,foodborne,18
1953,foodborne,18
1954,foodborne,19
1955,foodborne,17
1956,foodborne,28
1957,foodborne,34
1958,foodborne,7
1959,foodborne,29
1960,foodborne,12
1961,foodborne,14
1962,foodborne,16
1963,foodborne,46
1964,foodborne,28
1965,foodborne,20
1966,foodborne,11
1967,foodborne,7
1968,foodborne,9
1968,wound,1
1969,foodborne,17
1970,foodborne,13
1971,foodborne,23
1971,wound,2
1972,foodborne,24
1972,wound,3
1973,foodborne,42
1973,wound,1
1974,foodborne,31
1974,wound,5
1975,foodborne,18
1975,infant,1
1976,foodborne,45
1976,infant,14
1976,wound,2
1977,foodborne,89
1977,infant,43
1978,foodborne,59
1978,infant,39
1978,other,14
1979,foodborne,9
1979,infant,24
1979,other,5
1979,wound,3
1980,foodborne,18
1980,infant,66
1980,other,1
1980,wound,2
1981,foodborne,24
1981,infant,74
1981,other,1
1981,wound,5
1982,foodborne,32
1982,infant,54
1982,wound,1
1983,foodborne,43
1983,infant,79
1983,other,3
1984,foodborne,20
1984,infant,100
1984,other,3
1984,wound,3
1985,foodborne,33
1985,infant,71
1985,other,1
1985,wound,1
1986,foodborne,24
1986,infant,88
1986,wound,2
1987,foodborne,20
1987,infant,86
1987,wound,4
1988,foodborne,49
1988,infant,77
1988,other,1
1988,wound,2
1989,foodborne,27
1989,infant,76
1989,wound,4
1990,foodborne,22
1990,infant,74
1990,wound,4
1991,foodborne,24
1991,infant,93
1991,other,1
1991,wound,3
1992,foodborne,17
1992,infant,74
1992,other,1
1992,wound,3
1993,foodborne,17
1993,infant,60
1993,wound,4
1994,foodborne,41
1994,infant,86
1994,wound,11
1995,foodborne,23
1995,infant,80
1995,wound,25
1996,foodborne,22
1996,infant,81
1996,wound,17
1997,foodborne,25
1997,infant,85
1997,other,1
1997,wound,22
1998,foodborne,23
1998,infant,84
1998,other,1
1998,wound,29
1999,foodborne,26
1999,infant,107
1999,wound,40
2000,foodborne,17
2000,infant,104
2000,other,6
2000,wound,13
2001,foodborne,33
2001,infant,112
2001,other,1
2001,wound,23
2002,foodborne,21
2002,infant,81
2002,other,4
2002,wound,23
2003,foodborne,8
2003,infant,86
2003,other,2
2003,wound,30
2004,foodborne,14
2004,infant,92
2004,other,5
2004,wound,28
2005,foodborne,18
2005,infant,96
2005,other,3
2005,wound,28
2006,foodborne,19
2006,infant,106
2006,wound,45
2007,foodborne,27
2007,infant,91
2007,other,3
2007,wound,22
2008,foodborne,18
2008,infant,111
2008,wound,23
2009,foodborne,11
2009,infant,85
2009,other,3
2009,wound,23
2010,foodborne,9
2010,infant,85
2010,other,1
2010,wound,18
2011,foodborne,20
2011,infant,102
2011,other,5
2011,wound,13
2012,foodborne,25
2012,infant,123
2012,other,5
2012,wound,8
2013,foodborne,2
2013,infant,138
2013,other,2
2013,wound,15
2014,foodborne,15
2014,infant,128
2014,other,2
2014,wound,16
2015,foodborne,39
2015,infant,141
2015,other,4
2015,wound,15
2016,foodborne,29
2016,infant,150
2016,other,3
2016,wound,24
2017,foodborne,19
2017,infant,141
2017,other,3
2017,wound,19
