year,count
1917,22
1918,43
1919,66
1920,43
1921,63
1922,59
1923,20
1924,50
1925,24
1926,5
1927,11
1928,23
1929,30
1930,17
1931,48
1932,47
1933,37
1934,18
1935,71
1936,24
1937,42
1938,33
1939,47
1940,35
1941,44
1942,37
1943,22
1944,39
1945,37
1946,21
1947,45
1948,33
1949,16
1950,24
1951,37
1952,18
1953,18
1954,19
1955,17
1956,28
1957,34
1958,7
1959,29
1960,12
1961,14
1962,16
1963,46
1964,28
1965,20
1966,11
1967,7
1968,10
1969,17
1970,13
1971,25
1972,27
1973,43
1974,36
1975,19
1976,61
1977,132
1978,112
1979,41
1980,87
1981,104
1982,87
1983,125
1984,126
1985,106
1986,114
1987,110
1988,129
1989,107
1990,100
1991,121
1992,95
1993,81
1994,138
1995,128
1996,120
1997,133
1998,137
1999,173
2000,140
2001,169
2002,129
2003,126
2004,139
2005,145
2006,170
2007,143
2008,152
2009,122
2010,113
2011,140
2012,161
2013,157
2014,161
2015,199
2016,206
2017,182
